name,phone_number,address,district,city,province,postal_code,rating,reviews,latitude,longitude,location_link
Cv. Putra Jaya Mandiri,6281393486269,"Jl. Citarum No.68, Bugangan, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50126",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50126,4.9,18,-6.9696766,110.436721,"https://www.google.com/maps/place/Cv.+Putra+Jaya+Mandiri/@-6.9696766,110.4186966,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f36eefeb3139:0x6d5e628dbb104fa4!8m2!3d-6.9696766!4d110.436721!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11f5psg3qn?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Cv. Putra Jaya Mandiri,6281393486269,"Jl. Citarum No.68, Bugangan, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50126",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50126,4.9,18,-6.9696766,110.436721,"https://www.google.com/maps/place/Cv.+Putra+Jaya+Mandiri/@-6.9696766,110.4186966,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f36eefeb3139:0x6d5e628dbb104fa4!8m2!3d-6.9696766!4d110.436721!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11f5psg3qn?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Dita Pratama,6287832657982,"Jl. Jeruk Kingkit No.84, Kebonagung, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50123",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50123,5.0,4,-6.9719516,110.4328252,"https://www.google.com/maps/place/Toko+Bangunan+Dita+Pratama/@-6.9696766,110.4186966,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f3a1ead4f6eb:0x708599805369b6d0!8m2!3d-6.9719516!4d110.4328252!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11k5j79qwx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Dita Pratama,6287832657982,"Jl. Jeruk Kingkit No.84, Kebonagung, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50123",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50123,5.0,4,-6.9719516,110.4328252,"https://www.google.com/maps/place/Toko+Bangunan+Dita+Pratama/@-6.9696766,110.4186966,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f3a1ead4f6eb:0x708599805369b6d0!8m2!3d-6.9719516!4d110.4328252!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11k5j79qwx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Anugrah Makmur Sejahtera,(024) 3542405,"Jl. Pekojan No.67 A, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.5,25,-6.9734345,110.4282,"https://www.google.com/maps/place/Toko+Anugrah+Makmur+Sejahtera/@-6.9734345,110.4101756,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f3553cb25825:0x30d5e4303b0bb07!8m2!3d-6.9734345!4d110.4282!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11dym7pl1_?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Anugrah Makmur Sejahtera,(024) 3542405,"Jl. Pekojan No.67 A, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.5,25,-6.9734345,110.4282,"https://www.google.com/maps/place/Toko+Anugrah+Makmur+Sejahtera/@-6.9734345,110.4101756,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f3553cb25825:0x30d5e4303b0bb07!8m2!3d-6.9734345!4d110.4282!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11dym7pl1_?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan Mekar Jaya,6281326120088,"Jl. MT. Haryono No.219, Jagalan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50136",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50136,4.3,30,-6.9767297,110.4310872,"https://www.google.com/maps/place/Toko+Bangunan+Mekar+Jaya/@-6.9734345,110.4101756,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708dab6cd425a5:0x5395ccb9a0c5fa61!8m2!3d-6.9767297!4d110.4310872!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEKdG9vbF9zdG9yZeABAA!16s%2Fg%2F11f7by8rfl?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Besi Alfa Jaya,628112784226,"Jl. Citarum No.58, Bugangan, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50126",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50126,4.6,35,-6.9697818,110.4358852,"https://www.google.com/maps/place/Toko+Besi+Alfa+Jaya/@-6.9734345,110.4101756,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f352278f317d:0xcd5489a1464600e6!8m2!3d-6.9697818!4d110.4358852!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEZYnVpbGRpbmdfbWF0ZXJpYWxzX21hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWWVUVnlVR1ZuRUFF4AEA!16s%2Fg%2F11bz_3myc1?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Besi Alfa Jaya,628112784226,"Jl. Citarum No.58, Bugangan, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50126",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50126,4.6,35,-6.9697818,110.4358852,"https://www.google.com/maps/place/Toko+Besi+Alfa+Jaya/@-6.9734345,110.4101756,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f352278f317d:0xcd5489a1464600e6!8m2!3d-6.9697818!4d110.4358852!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEZYnVpbGRpbmdfbWF0ZXJpYWxzX21hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWWVUVnlVR1ZuRUFF4AEA!16s%2Fg%2F11bz_3myc1?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Besi Alfa Jaya,628112784226,"Jl. Citarum No.58, Bugangan, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50126",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50126,4.6,35,-6.9697818,110.4358852,"https://www.google.com/maps/place/Toko+Besi+Alfa+Jaya/@-6.9734345,110.4101756,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f352278f317d:0xcd5489a1464600e6!8m2!3d-6.9697818!4d110.4358852!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEZYnVpbGRpbmdfbWF0ZXJpYWxzX21hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWWVUVnlVR1ZuRUFF4AEA!16s%2Fg%2F11bz_3myc1?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
